time,Year,n_T,n_P1,n_P2,i_ILI,Week,season,pop,temp,ah,h3_inc,rhino_inc
1,2013,NA,NA,NA,NA,46,s13-14,7229500,-0.4301723162368946,-0.3485238331965499,0,0
2,2013,NA,NA,NA,NA,47,s13-14,7229500,-0.5247734830512322,-1.2011881928812145,0,0
3,2013,NA,NA,NA,NA,48,s13-14,7229500,-1.1730697144553657,-1.6055160192248723,0,0
4,2013,NA,NA,NA,NA,49,s13-14,7229500,-1.111857194751971,-1.8246515848365097,0,0
5,2013,NA,NA,NA,NA,50,s13-14,7229500,-0.9616082827527296,-1.182301335261901,0,0
6,2013,NA,NA,NA,NA,51,s13-14,7229500,-2.2192473239315653,-1.7235823862734363,0,0
7,2013,NA,NA,NA,NA,52,s13-14,7229500,-2.0801279609693046,-2.300468371731798,0,0
8,2014,2164,301,11,0.0034,1,s13-14,7229500,-1.593210190601393,-1.8831918833531651,0,0
9,2014,2412,271,11,0.0055,2,s13-14,7229500,-1.390095920676492,-1.3429862654304627,0,0
10,2014,2307,273,19,0.0059,3,s13-14,7229500,-1.8631017547481783,-1.888018701522567,0,0
11,2014,2589,369,21,0.0068,4,s13-14,7229500,-1.634945999490071,-1.8913057989983173,0,0
12,2014,2676,302,24,0.009,5,s13-14,7229500,-1.0617742240855577,-1.1869601144460116,0,0
13,2014,3042,570,44,0.00709999999999999,6,s13-14,7229500,-1.0283855769746153,-0.8329768409581806,0,0
14,2014,2588,765,74,0.0058,7,s13-14,7229500,-2.9231913005206036,-1.9434072946756715,0,0
15,2014,2879,595,51,0.0093,8,s13-14,7229500,-1.9437909852662896,-1.44212330351899,0,0
16,2014,2882,750,79,0.00709999999999999,9,s13-14,7229500,-0.8614423414199025,-0.6240006794777011,0,0
17,2014,2516,749,81,0.0066,10,s13-14,7229500,-1.515303347342527,-0.9405754314173068,0,0
18,2014,2433,400,77,0.0087,11,s13-14,7229500,-1.314971464676871,-1.1359646240058054,0,0
19,2014,2553,364,69,0.0079,12,s13-14,7229500,-0.8002298217165074,-0.7453423126577451,0,0
20,2014,2533,351,69,0.0062,13,s13-14,7229500,-0.34948308571878345,-0.3646996266124653,0,0
21,2014,2186,248,109,0.0054,14,s13-14,7229500,-0.5386854193474578,-0.26977353324021625,0,0
22,2014,2552,181,84,0.0063,15,s13-14,7229500,-0.34948308571878345,-0.1137119307601441,0,0
23,2014,2309,140,77,0.00609999999999999,16,s13-14,7229500,0.08178693946422443,0.06859004486141487,0,0
24,2014,2297,141,107,0.0045,17,s13-14,7229500,0.07900455220497889,0.4130938952542547,0,0
25,2014,2193,157,156,0.0031,18,s13-14,7229500,0.1402170719083733,0.01803648777428072,0,0
26,2014,1933,122,130,0.0031,19,s13-14,7229500,-0.3021825023116147,0.2439658262466262,0,0
27,2014,1919,94,147,0.0031,20,s13-14,7229500,0.8135547886457147,1.1802844975665343,0,0
28,2014,1972,64,89,0.0048,21,s13-14,7229500,0.8747673083491091,1.1249903046009155,0,0
29,2014,2061,66,132,0.0039,22,s13-14,7229500,1.169700357829102,1.1366797344931068,0,0
30,2014,2132,34,97,0.005,23,s13-14,7229500,1.105705450866462,1.0689342448770878,0,0
31,2014,2183,75,177,0.0028,24,s13-14,7229500,1.086228740051745,0.4625780288343462,0,0
32,2014,2048,37,114,0.00409999999999999,25,s13-14,7229500,1.1585708087921205,1.3136043164047153,0,0
33,2014,1825,22,72,0.0055,26,s13-14,7229500,0.9971923477558986,1.2992942030014345,0,0
34,2014,1867,39,99,0.0042,27,s13-14,7229500,1.205871392199289,1.2673254496355275,0,0
35,2014,1945,36,102,0.0039,28,s13-14,7229500,1.1947418431623082,1.3259696795207248,0,0
36,2014,1924,19,70,0.0058,29,s13-14,7229500,1.1557884215328755,1.1910992608662585,0,0
37,2014,1728,17,66,0.0045,30,s13-14,7229500,1.1669179705698562,1.247139011315208,0,0
38,2014,1709,23,79,0.0042,31,s13-14,7229500,1.2030890049400442,1.030248616362901,0,0
39,2014,1653,19,81,0.004,32,s13-14,7229500,1.1669179705698562,1.2457060390311403,0,0
40,2014,1549,17,75,0.0037,33,s13-14,7229500,1.0500577056815572,1.208514077987532,0,0
41,2014,1480,11,64,0.0031,34,s13-14,7229500,0.8831144701268451,0.9867312850709704,0,0
42,2014,1638,31,84,0.0024,35,s13-14,7229500,1.14187648523665,0.9731910304807248,0,0
43,2014,1844,19,66,0.0034,36,s13-14,7229500,1.161353196051366,1.0015411050805598,0,0
44,2014,1848,20,51,0.004,37,s13-14,7229500,1.0834463527925002,1.1485337301685363,0,0
45,2014,1949,18,61,0.0033,38,s13-14,7229500,1.0750991910147645,0.984462513208213,0,0
46,2014,1983,7,41,0.0042,39,s13-14,7229500,0.8163371759049596,0.4508843021845916,0,0
47,2014,1912,16,42,0.0026,40,s13-14,7229500,0.9944099604966532,0.7551777891332878,0,0
48,2014,1857,10,45,0.0026,41,s13-14,7229500,0.6493939403502474,-0.49212908815156,0,0
49,2014,1898,7,28,0.0034,42,s13-14,7229500,0.3961966997589332,-0.5873468672770706,0,0
50,2014,1797,5,14,0.006,43,s13-14,7229500,0.49079786657327,0.0442737305262374,0,0
51,2014,1962,3,25,0.0026,44,s13-14,7229500,0.4574092194623276,0.07429003415599264,0,0
52,2014,1964,2,6,0.0032,45,s13-14,7229500,-0.22427565905274904,-0.2969478398573424,0,0
1,2014,1812,13,41,0.0048,46,s14-15,7291300,-0.40513083090368746,-0.46631421583997645,0,0
2,2014,2102,12,70,0.0039,47,s14-15,7291300,-0.3745245710519906,-0.8465874636156878,0,0
3,2014,2140,27,95,0.0028,48,s14-15,7291300,-0.00446706557237714,-0.06508223935067535,0,0
4,2014,2045,46,84,0.0027,49,s14-15,7291300,-1.2481941704549864,-1.0735485135519145,0,0
5,2014,2158,30,57,0.0039,50,s14-15,7291300,-1.314971464676872,-1.5236198422677485,0,0
6,2014,2373,50,90,0.0031,51,s14-15,7291300,-1.7434591026006343,-2.0605130105183673,0,0
7,2014,2495,22,45,0.0054,52,s14-15,7291300,-1.5848630288236576,-1.4926718865570168,0,0
8,2015,3069,34,67,0.0053,1,s14-15,7291300,-1.7490238771191249,-1.7850580875415103,0,0
9,2015,3351,29,61,0.0062,2,s14-15,7291300,-1.2287174596402703,-1.2155867492586032,0,0
10,2015,3392,38,43,0.0072,3,s14-15,7291300,-1.8436250439334616,-1.6240511407815328,0,0
11,2015,4315,25,35,0.0094,4,s14-15,7291300,-1.3567072735655497,-1.6724185965489409,0,0
12,2015,5187,27,53,0.01,5,s14-15,7291300,-1.2287174596402703,-1.067767465647062,0,0
13,2015,4854,32,27,0.0115,6,s14-15,7291300,-1.6878113574157296,-1.5234858067470007,0,0
14,2015,4650,32,50,0.0079,7,s14-15,7291300,-1.4012254697134736,-1.732902262035111,0,0
15,2015,4049,23,22,0.0127,8,s14-15,7291300,-0.9365667974195232,-0.6529884263278518,0,0
16,2015,4714,38,48,0.00709999999999999,9,s14-15,7291300,-0.6054627135693427,-0.17751646805460403,0,0
17,2015,4145,50,39,0.0066,10,s14-15,7291300,-1.1814168762331017,-0.7076183473973694,0,0
18,2015,3800,121,85,0.0045,11,s14-15,7291300,-1.0367327387523504,-0.8072485239863264,0,0
19,2015,4093,102,68,0.0057,12,s14-15,7291300,-0.02394377638709389,0.1905559717258219,0,0
20,2015,3640,97,88,0.0052,13,s14-15,7291300,-0.7334525274946225,-0.7553556249415039,0,0
21,2015,2767,110,75,0.0048,14,s14-15,7291300,0.17082333176007086,0.3627232022572284,0,0
22,2015,4054,245,163,0.0032,15,s14-15,7291300,-0.6444161351987762,-0.423678401630267,0,0
23,2015,3275,160,101,0.00409999999999999,16,s14-15,7291300,-0.23540520808972987,-0.8515278809031427,0,0
24,2015,3093,131,100,0.0044,17,s14-15,7291300,0.0956988757604501,-0.17399677649241663,0,0
25,2015,2989,173,171,0.0029,18,s14-15,7291300,0.518621739165722,0.34086135225305597,0,0
26,2015,2956,115,127,0.00409999999999999,19,s14-15,7291300,0.7940780778309979,0.8618528593321501,0,0
27,2015,2875,125,104,0.0047,20,s14-15,7291300,0.6271348422762852,0.633394282260891,0,0
28,2015,2786,136,172,0.0038,21,s14-15,7291300,0.5436632244989291,0.9651266779138328,0,0
29,2015,2963,74,118,0.007,22,s14-15,7291300,1.0277986076075962,1.3105581548758427,0,0
30,2015,3337,111,159,0.0062,23,s14-15,7291300,1.1084878381257066,1.1289127038340547,0,0
31,2015,3815,83,117,0.0109,24,s14-15,7291300,1.225348103014006,1.138250062816346,0,0
32,2015,3480,56,137,0.0112,25,s14-15,7291300,1.289343009976646,1.0717304530015064,0,0
33,2015,4086,73,131,0.0098,26,s14-15,7291300,0.9721508624226914,1.275090334834053,0,0
34,2015,3825,56,146,0.0092,27,s14-15,7291300,1.3227316570875882,1.179678406033351,0,0
35,2015,3420,44,114,0.0094,28,s14-15,7291300,1.0222338330891052,0.6091801718555467,0,0
36,2015,3186,54,201,0.0059,29,s14-15,7291300,1.1641355833106106,1.2139302743295286,0,0
37,2015,2793,57,165,0.0057,30,s14-15,7291300,0.8692025338306187,1.0975265474379776,0,0
38,2015,2799,35,121,0.008,31,s14-15,7291300,0.9248502790155234,0.7834952939494985,0,0
39,2015,2898,43,181,0.0052,32,s14-15,7291300,1.261519137384194,0.7221662228710672,0,0
40,2015,2883,33,154,0.005,33,s14-15,7291300,0.986062798718918,1.1436672889591395,0,0
41,2015,2599,30,96,0.0052,34,s14-15,7291300,1.1808299068660826,1.2455446516519002,0,0
42,2015,2759,21,106,0.0047,35,s14-15,7291300,1.038928156644577,0.8324791998762066,0,0
43,2015,2501,28,164,0.0039,36,s14-15,7291300,0.7384303326460939,1.0648623804667576,0,0
44,2015,2669,34,137,0.0036,37,s14-15,7291300,0.9025911809415612,0.6186563243503096,0,0
45,2015,2926,22,132,0.0036,38,s14-15,7291300,0.8970264064230707,0.5130319489908587,0,0
46,2015,2832,8,62,0.0069,39,s14-15,7291300,0.9693684751634466,1.0160836121986072,0,0
47,2015,2681,9,73,0.0036,40,s14-15,7291300,0.941544602570994,0.4492509163490304,0,0
48,2015,2708,10,63,0.0046,41,s14-15,7291300,0.4796683175362892,0.5791033439060557,0,0
49,2015,2749,8,41,0.0045,42,s14-15,7291300,0.08456932672346928,-0.40879923511543903,0,0
50,2015,2890,4,56,0.004,43,s14-15,7291300,0.435150121388366,-0.2519859608367688,0,0
51,2015,2911,4,39,0.0038,44,s14-15,7291300,0.4796683175362892,0.29564509802384586,0,0
52,2015,2921,3,32,0.0035,45,s14-15,7291300,0.10682842479743088,-0.12097219644368816,0,0
1,2015,2802,1,19,0.0044,46,s15-16,7336600,0.17082333176007086,0.21806909456237356,0,0
2,2015,2770,6,26,0.0043,47,s15-16,7336600,0.4156734105736492,0.33779098214626735,0,0
3,2015,2792,0,34,0.0053,48,s15-16,7336600,-0.4190427671999138,-0.8322441501205536,0,0
4,2015,3017,8,57,0.0034,49,s15-16,7336600,-0.6527632969765114,-0.6469427313945701,0,0
5,2015,2874,13,59,0.00509999999999999,50,s15-16,7336600,-1.186981650751592,-0.9302927914176666,0,0
6,2015,3077,15,51,0.0054,51,s15-16,7336600,-1.4874794747500744,-1.6791811584248668,0,0
7,2015,3232,38,94,0.00409999999999999,52,s15-16,7336600,-0.9393491846787682,-0.6626372698446993,0,0
8,2016,3124,55,80,0.00509999999999999,1,s15-16,7336600,-1.2621061067512127,-1.1286159850053068,0,0
9,2016,3204,74,80,0.0056,2,s15-16,7336600,-0.8725718904568833,-0.5910111715096046,0,0
10,2016,3096,170,131,0.0047,3,s15-16,7336600,-1.4067902442319633,-0.9903679667094796,0,0
11,2016,3280,255,117,0.0058,4,s15-16,7336600,-2.01335066674742,-1.3610519617279997,0,0
12,2016,3537,506,150,0.0056,5,s15-16,7336600,-2.3277604270421284,-1.554544358044434,0,0
13,2016,3935,698,154,0.0075,6,s15-16,7336600,-2.2665479073387336,-1.8198786831949916,0,0
14,2016,4544,812,117,0.0106,7,s15-16,7336600,-1.039515126011596,-1.2158444984734795,0,0
15,2016,4896,1123,158,0.009,8,s15-16,7336600,-1.9577029215625157,-1.6275667897980843,0,0
16,2016,4959,1229,133,0.0095,9,s15-16,7336600,-1.904837563636856,-1.3535349965480787,0,0
17,2016,5110,1063,111,0.01169999999999999,10,s15-16,7336600,-1.070121385863293,-1.1130833650300298,0,0
18,2016,4651,1091,107,0.01,11,s15-16,7336600,-1.2982771411214,-0.7443032147063366,0,0
19,2016,4247,1138,128,0.00819999999999999,12,s15-16,7336600,-1.134116292825933,-0.529120525210258,0,0
